[2025-05-07T03:45:08.435+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T03:45:03.416032+00:00 [queued]>
[2025-05-07T03:45:08.439+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T03:45:03.416032+00:00 [queued]>
[2025-05-07T03:45:08.439+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2025-05-07T03:45:08.444+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): human_review> on 2025-05-07 03:45:03.416032+00:00
[2025-05-07T03:45:08.449+0000] {standard_task_runner.py:57} INFO - Started process 2820 to run task
[2025-05-07T03:45:08.452+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'lgbtq_model_pipeline', 'human_review', 'manual__2025-05-07T03:45:03.416032+00:00', '--job-id', '43', '--raw', '--subdir', 'DAGS_FOLDER/lgbtq_model_pipeline.py', '--cfg-path', '/tmp/tmpgjii1ysf']
[2025-05-07T03:45:08.453+0000] {standard_task_runner.py:85} INFO - Job 43: Subtask human_review
[2025-05-07T03:45:08.480+0000] {task_command.py:416} INFO - Running <TaskInstance: lgbtq_model_pipeline.human_review manual__2025-05-07T03:45:03.416032+00:00 [running]> on host 6fdcfcafebfc
[2025-05-07T03:45:08.538+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_245 — already exists in new_data.
[2025-05-07T03:45:08.538+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_244 — already exists in new_data.
[2025-05-07T03:45:08.538+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_247 — already exists in new_data.
[2025-05-07T03:45:08.538+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_248 — already exists in new_data.
[2025-05-07T03:45:08.538+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_247 — already exists in new_data.
[2025-05-07T03:45:08.539+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_249 — already exists in new_data.
[2025-05-07T03:45:08.539+0000] {logging_mixin.py:154} INFO - ⚠️ Skipping duplicate article_244 — already exists in new_data.
[2025-05-07T03:45:08.539+0000] {logging_mixin.py:154} INFO - 🧠 Human review simulated for this batch.
[2025-05-07T03:45:08.539+0000] {python.py:194} INFO - Done. Returned value was: None
[2025-05-07T03:45:08.543+0000] {taskinstance.py:1400} INFO - Marking task as SUCCESS. dag_id=lgbtq_model_pipeline, task_id=human_review, execution_date=20250507T034503, start_date=20250507T034508, end_date=20250507T034508
[2025-05-07T03:45:08.591+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2025-05-07T03:45:08.607+0000] {taskinstance.py:2778} INFO - 1 downstream tasks scheduled from follow-on schedule check
